id,fecha,monto,tipo,estado
1,30-06-2024,3000.0,credito,MONTO_NORMAL
2,03-04-2024,1200.0,credito,MONTO_NORMAL
3,09-04-2024,800.0,invalid,MONTO_NORMAL
5,17-06-2024,800.0,debito,MONTO_NORMAL
6,11-11-2024,1500.0,credito,MONTO_NORMAL
8,30-07-2024,3000.0,debito,MONTO_NORMAL
9,07-04-2024,3000.0,invalid,MONTO_NORMAL
10,15-10-2024,1500.0,invalid,MONTO_NORMAL
11,05-10-2024,1200.0,debito,MONTO_NORMAL
12,20-07-2024,1200.0,debito,MONTO_NORMAL
13,13-04-2024,3000.0,credito,MONTO_NORMAL
14,17-07-2024,500.0,debito,MONTO_NORMAL
16,27-04-2024,1000.0,invalid,MONTO_NORMAL
19,16-08-2024,800.0,credito,MONTO_NORMAL
20,28-07-2024,3000.0,debito,MONTO_NORMAL
21,12-06-2024,700.0,credito,MONTO_NORMAL
22,05-06-2024,1000.0,invalid,MONTO_NORMAL
24,18-02-2024,0.0,credito,MONTO_NORMAL
26,19-05-2024,1200.0,debito,MONTO_NORMAL
27,11-12-2024,1200.0,credito,MONTO_NORMAL
31,11-04-2024,800.0,invalid,MONTO_NORMAL
32,01-01-2024,1500.0,invalid,MONTO_NORMAL
33,30-12-2024,1500.0,credito,MONTO_NORMAL
36,25-07-2024,1500.0,credito,MONTO_NORMAL
37,20-08-2024,800.0,credito,MONTO_NORMAL
38,15-02-2024,1500.0,debito,MONTO_NORMAL
39,18-11-2024,1200.0,invalid,MONTO_NORMAL
41,01-08-2024,800.0,credito,MONTO_NORMAL
42,29-07-2024,500.0,credito,MONTO_NORMAL
44,11-07-2024,1000.0,credito,MONTO_NORMAL
46,29-06-2024,1200.0,debito,MONTO_NORMAL
47,30-11-2024,1200.0,invalid,MONTO_NORMAL
48,09-08-2024,1500.0,credito,MONTO_NORMAL
49,26-10-2024,3000.0,debito,MONTO_NORMAL
52,16-03-2024,1000.0,invalid,MONTO_NORMAL
54,21-02-2024,800.0,desconocido,MONTO_NORMAL
55,27-01-2024,3000.0,credito,MONTO_NORMAL
56,06-09-2024,1000.0,debito,MONTO_NORMAL
58,27-02-2024,1000.0,credito,MONTO_NORMAL
59,08-02-2024,800.0,credito,MONTO_NORMAL
61,09-01-2024,3000.0,debito,MONTO_NORMAL
62,09-06-2024,1000.0,credito,MONTO_NORMAL
63,14-08-2024,700.0,credito,MONTO_NORMAL
64,13-03-2024,1000.0,credito,MONTO_NORMAL
66,28-05-2024,1500.0,invalid,MONTO_NORMAL
67,10-11-2024,800.0,credito,MONTO_NORMAL
68,11-01-2024,3000.0,desconocido,MONTO_NORMAL
69,29-09-2024,1500.0,invalid,MONTO_NORMAL
71,31-07-2024,700.0,debito,MONTO_NORMAL
73,29-07-2024,1000.0,credito,MONTO_NORMAL
74,30-07-2024,1000.0,invalid,MONTO_NORMAL
75,28-01-2024,1500.0,debito,MONTO_NORMAL
80,16-04-2024,1200.0,invalid,MONTO_NORMAL
82,13-09-2024,700.0,credito,MONTO_NORMAL
83,10-05-2024,800.0,credito,MONTO_NORMAL
84,17-09-2024,3000.0,debito,MONTO_NORMAL
85,16-03-2024,1000.0,debito,MONTO_NORMAL
86,04-11-2024,1500.0,invalid,MONTO_NORMAL
87,22-10-2024,1200.0,invalid,MONTO_NORMAL
88,24-04-2024,3000.0,credito,MONTO_NORMAL
89,27-07-2024,800.0,debito,MONTO_NORMAL
90,28-07-2024,700.0,invalid,MONTO_NORMAL
91,01-01-2024,800.0,credito,MONTO_NORMAL
92,27-01-2024,1200.0,debito,MONTO_NORMAL
93,07-11-2024,3000.0,debito,MONTO_NORMAL
95,22-12-2024,1000.0,credito,MONTO_NORMAL
96,18-12-2024,800.0,credito,MONTO_NORMAL
97,17-08-2024,500.0,debito,MONTO_NORMAL
98,05-07-2024,1200.0,invalid,MONTO_NORMAL
101,12-05-2024,800.0,debito,MONTO_NORMAL
103,02-04-2024,1500.0,credito,MONTO_NORMAL
104,16-04-2024,1000.0,credito,MONTO_NORMAL
105,13-12-2024,3000.0,invalid,MONTO_NORMAL
106,21-01-2024,1000.0,credito,MONTO_NORMAL
107,16-01-2024,700.0,invalid,MONTO_NORMAL
109,15-09-2024,1200.0,invalid,MONTO_NORMAL
110,05-07-2024,800.0,debito,MONTO_NORMAL
111,25-09-2024,1000.0,credito,MONTO_NORMAL
112,07-03-2024,800.0,credito,MONTO_NORMAL
113,21-07-2024,1500.0,credito,MONTO_NORMAL
114,01-02-2024,700.0,invalid,MONTO_NORMAL
115,20-07-2024,700.0,debito,MONTO_NORMAL
116,03-10-2024,1500.0,invalid,MONTO_NORMAL
117,10-11-2024,700.0,credito,MONTO_NORMAL
121,19-08-2024,700.0,debito,MONTO_NORMAL
122,26-08-2024,800.0,invalid,MONTO_NORMAL
123,27-05-2024,3000.0,debito,MONTO_NORMAL
126,11-03-2024,800.0,debito,MONTO_NORMAL
127,09-04-2024,700.0,invalid,MONTO_NORMAL
128,26-07-2024,1500.0,invalid,MONTO_NORMAL
